,GEOID,east,north,south,west,lon,lat
114,51033030202,-77.0687,38.0787,37.8857,-77.3255,-77.1971,37.9822
115,51041100106,-77.5283,37.5319,37.5045,-77.5693,-77.5488,37.5182
116,51041100107,-77.5237,37.5255,37.4974,-77.5496,-77.53665000000001,37.511449999999996
117,51041100205,-77.4947,37.479,37.4497,-77.5252,-77.50995,37.464349999999996
118,51041100208,-77.5471,37.4736,37.4492,-77.5916,-77.56935,37.4614
119,51041100404,-77.4266,37.4396,37.4098,-77.4396,-77.4331,37.4247
120,51041100410,-77.4434,37.3704,37.3502,-77.4645,-77.45394999999999,37.360299999999995
121,51041100510,-77.2967,37.3431,37.3088,-77.341,-77.31885,37.32595
122,51041100804,-77.4522,37.4642,37.4393,-77.4865,-77.46935,37.451750000000004
123,51041100814,-77.4803,37.4188,37.3926,-77.5151,-77.49770000000001,37.405699999999996
124,51041100910,-77.5635,37.4904,37.4608,-77.5977,-77.5806,37.4756
125,51041100921,-77.5621,37.5257,37.5073,-77.6119,-77.587,37.5165
126,51041100929,-77.6219,37.5022,37.4606,-77.6596,-77.64075,37.4814
127,51041100933,-77.6039,37.4341,37.4099,-77.6303,-77.6171,37.422
128,51041101008,-77.6822,37.4268,37.3989,-77.7228,-77.7025,37.41285
129,51047930201,-77.9956,38.5126,38.4537,-78.0784,-78.037,38.483149999999995
130,51047930400,-77.6187,38.562,38.3566,-77.9994,-77.80905,38.4593
131,51049930100,-78.0723,37.7494,37.309,-78.382,-78.22715,37.5292
132,51087201003,-77.3754,37.5718,37.5494,-77.4115,-77.39345,37.5606
133,51087201101,-77.3592,37.5662,37.5299,-77.3958,-77.3775,37.54805
134,51087201102,-77.3624,37.5458,37.5174,-77.3956,-77.37899999999999,37.5316
135,51087201501,-77.3494,37.5186,37.4656,-77.4145,-77.38195,37.4921
136,51087201701,-77.2808,37.5301,37.5115,-77.3285,-77.30465000000001,37.520799999999994
137,51089011100,-79.9362,36.7709,36.7197,-80.0104,-79.9733,36.7453
138,51091970100,-79.3082,38.5915,38.1804,-79.8102,-79.5592,38.38595
139,51093280104,-76.5622,37.0012,36.9705,-76.6238,-76.593,36.98585
140,51095080202,-76.7319,37.2752,37.236,-76.7657,-76.74879999999999,37.2556
141,51097950400,-76.7253,37.9722,37.6419,-77.1869,-76.95609999999999,37.807050000000004
142,51101950101,-77.0326,37.8163,37.6171,-77.3456,-77.1891,37.7167
143,51101950200,-76.8144,37.723,37.5225,-77.1027,-76.95855,37.622749999999996
144,51101950300,-76.7771,37.5913,37.5176,-76.841,-76.80905,37.55445
145,51103990100,-76.3202,37.6819,37.6795,-76.3229,-76.32155,37.6807
146,51107610202,-77.7396,39.1887,39.1142,-77.8458,-77.7927,39.15145
147,51107610504,-77.5377,39.1403,39.1133,-77.5637,-77.5507,39.1268
148,51107610603,-77.5484,39.1119,39.0987,-77.574,-77.5612,39.1053
149,51107611005,-77.4848,39.0506,39.0276,-77.5076,-77.4962,39.039100000000005
150,51107611009,-77.4681,39.1007,39.0771,-77.5032,-77.48565,39.0889
151,51107611013,-77.4806,39.0659,39.0439,-77.5028,-77.4917,39.0549
152,51107611021,-77.467,39.0107,38.9864,-77.529,-77.49799999999999,38.99855
153,51107611204,-77.3626,39.0445,39.0288,-77.3859,-77.37425,39.036649999999995
154,51107611300,-77.3715,39.0214,39.0064,-77.3966,-77.38405,39.0139
155,51107611501,-77.3917,39.0454,39.0216,-77.4313,-77.41149999999999,39.033500000000004
156,51107611802,-77.5179,38.9383,38.8997,-77.5459,-77.53190000000001,38.919
157,51113930100,-78.0828,38.4874,38.23,-78.3413,-78.21205,38.3587
158,51115951300,-76.2517,37.5355,37.437,-76.4518,-76.35175000000001,37.48625
159,51117930300,-78.1325,36.8545,36.6004,-78.3617,-78.24709999999999,36.727450000000005
160,51119951100,-76.407,37.6128,37.5103,-76.5146,-76.4608,37.56155
161,51121020201,-80.4262,37.2268,37.2009,-80.469,-80.4476,37.213849999999994
162,51121021000,-80.3782,37.1323,37.0866,-80.4671,-80.42265,37.109449999999995
163,51121021500,-80.2888,37.1534,36.9816,-80.5801,-80.43445,37.067499999999995
164,51125950300,-78.8003,37.9175,37.6487,-79.1719,-78.9861,37.7831
165,51127700300,-76.742,37.5863,37.3777,-77.0478,-76.8949,37.482
166,51133990100,-76.3183,37.6822,37.6807,-76.3229,-76.3206,37.68145
167,51135980100,-77.8898,37.1222,36.9828,-77.9855,-77.93764999999999,37.052499999999995
168,51141030100,-80.0415,36.8721,36.6348,-80.4112,-80.22635,36.75345
169,51143010801,-79.2638,36.7515,36.6632,-79.4095,-79.33664999999999,36.707350000000005
170,51145500101,-77.654,37.613,37.506,-77.8513,-77.75264999999999,37.5595
171,51147930300,-78.2381,37.3143,37.0783,-78.6925,-78.4653,37.1963
172,51153900100,-77.219,38.6675,38.6084,-77.2516,-77.2353,38.637950000000004
173,51153900203,-77.2538,38.6593,38.6493,-77.272,-77.2629,38.6543
174,51153900408,-77.3237,38.6351,38.6161,-77.351,-77.33735,38.625600000000006
175,51153900600,-77.2493,38.6575,38.6297,-77.2693,-77.2593,38.6436
176,51153901005,-77.3676,38.6324,38.6112,-77.4107,-77.38915,38.62179999999999
177,51153901008,-77.2912,38.611,38.5751,-77.3227,-77.30695,38.59305
178,51153901203,-77.3168,38.6639,38.6397,-77.35,-77.3334,38.651799999999994
179,51153901221,-77.3072,38.7068,38.6801,-77.3255,-77.31635,38.69345
180,51153901226,-77.3528,38.6761,38.6593,-77.3899,-77.37135,38.667699999999996
181,51153901227,-77.3467,38.6666,38.6429,-77.3829,-77.3648,38.65475
182,51153901234,-77.3745,38.669,38.6279,-77.4441,-77.4093,38.64845
183,51153901413,-77.5822,38.7712,38.7527,-77.6006,-77.5914,38.76195
184,51153901504,-77.5723,38.8305,38.7978,-77.6139,-77.59309999999999,38.81415
185,51153901506,-77.6101,38.8228,38.8053,-77.6396,-77.62485000000001,38.81405
186,51153901701,-77.4787,38.7852,38.7691,-77.5124,-77.49555000000001,38.777150000000006
187,51155210700,-80.6652,37.1262,37.0949,-80.6985,-80.68185,37.11055
188,51161030201,-79.9889,37.3406,37.3082,-80.0336,-80.01125,37.3244
189,51161030203,-79.9203,37.363,37.3197,-79.9578,-79.93905000000001,37.34135
190,51161030702,-79.9935,37.2522,37.224,-80.0291,-80.0113,37.2381
191,51161031101,-79.8701,37.2809,37.2578,-79.9073,-79.8887,37.26935
192,51165010800,-78.6862,38.6492,38.5627,-78.8284,-78.7573,38.60595
193,51167030200,-81.9742,37.0438,36.9005,-82.328,-82.1511,36.97215
194,51169030100,-82.543,36.6805,36.6241,-82.6892,-82.6161,36.6523
195,51169030400,-82.3481,36.8764,36.6552,-82.7527,-82.5504,36.7658
196,51171040400,-78.3005,38.9873,38.7077,-78.6126,-78.45655,38.8475
197,51173030600,-81.4522,36.8345,36.7447,-81.5816,-81.51689999999999,36.7896
198,51175200200,-77.0737,36.8295,36.5699,-77.5019,-77.2878,36.6997
199,51175200400,-76.8846,36.7911,36.5438,-77.1652,-77.0249,36.66745
200,51177020107,-77.492,38.2829,38.2642,-77.5148,-77.5034,38.27355
201,51177020109,-77.5314,38.2905,38.2699,-77.5565,-77.54395,38.2802
202,51177020110,-77.5449,38.2862,38.2614,-77.5699,-77.5574,38.2738
203,51177020111,-77.5629,38.2878,38.278,-77.5937,-77.5783,38.2829
204,51177020112,-77.5699,38.2856,38.2699,-77.6024,-77.58615,38.27775
205,51177020114,-77.5602,38.2784,38.2487,-77.5836,-77.5719,38.263549999999995
206,51177020203,-77.4357,38.2498,38.2231,-77.476,-77.45585,38.236450000000005
207,51177020307,-77.5252,38.2717,38.242,-77.5602,-77.5427,38.25685
208,51177020408,-77.7072,38.3256,38.2935,-77.7482,-77.7277,38.30955
209,51179010108,-77.3629,38.5138,38.4602,-77.3944,-77.37865,38.487
210,51179010211,-77.4022,38.471,38.4471,-77.4253,-77.41375,38.45905
211,51179010213,-77.4365,38.4641,38.4475,-77.4544,-77.44545,38.455799999999996
212,51183870100,-77.226,37.0316,36.7077,-77.619,-77.4225,36.86965
213,51183870201,-77.0109,37.0989,36.8022,-77.4387,-77.2248,36.95055
214,51183870202,-77.1922,37.0542,37.0407,-77.2142,-77.20320000000001,37.04745
215,51185021000,-81.752,37.0957,37.007,-81.8408,-81.7964,37.05135
216,51191010300,-81.8338,36.929,36.6197,-82.3321,-82.08295,36.77435
217,51191010401,-81.968,36.6999,36.6166,-82.0562,-82.0121,36.658249999999995
218,51193010400,-76.9559,38.278,38.1976,-77.0475,-77.0017,38.2378
219,51197050301,-81.0891,36.9476,36.8765,-81.3267,-81.2079,36.91205
220,51199050203,-76.424,37.1273,37.094,-76.459,-76.4415,37.11065
221,51199050303,-76.438,37.1863,37.1476,-76.475,-76.4565,37.16695
222,51199990100,-76.3943,37.2106,37.1626,-76.4004,-76.39735,37.1866
